名稱,說明,緯度,經度,行政區,地址,電話,店號,標籤
7-11 望景（BEAMS）,台中市西屯區科園三路1號1樓之1｜(04)24638230｜06:00 ~ 23:59｜BEAMS DESIGN,24.205388,120.603518,西屯區,台中市西屯區科園三路1號1樓之1,(04)24638230,229193,BEAMS DESIGN
7-11 東儷（BEAMS）,台中市西屯區臺灣大道四段1727號｜(04)23590457｜07:00 ~ 23:00｜BEAMS DESIGN,24.177949,120.601251,西屯區,台中市西屯區臺灣大道四段1727號,(04)23590457,261773,BEAMS DESIGN
7-11 正勤（BEAMS）,台中市西屯區黎明路三段539-3號.539-5號｜(04)24524657｜24H｜BEAMS DESIGN,24.186368,120.640091,西屯區,台中市西屯區黎明路三段539-3號.539-5號,(04)24524657,273743,BEAMS DESIGN
7-11 水湳（BEAMS）,台中市西屯區中清西二街139-1號｜(04)22957458｜24H｜BEAMS DESIGN,24.175706,120.664869,西屯區,台中市西屯區中清西二街139-1號,(04)22957458,269168,BEAMS DESIGN
7-11 港強（BEAMS）,台中市西屯區福科路295號一樓｜(04)24632861｜24H｜BEAMS DESIGN,24.181942,120.624704,西屯區,台中市西屯區福科路295號一樓,(04)24632861,113001,BEAMS DESIGN
7-11 漢口（BEAMS）,台中市西屯區漢口路一段22.24號1樓｜(04)23168186｜24H｜BEAMS DESIGN,24.160151,120.656511,西屯區,台中市西屯區漢口路一段22.24號1樓,(04)23168186,231934,BEAMS DESIGN
7-11 甘肅（BEAMS）,台中市西屯區甘肅路二段22號｜(04)23152941｜24H｜BEAMS DESIGN,24.170386,120.656089,西屯區,台中市西屯區甘肅路二段22號,(04)23152941,128553,BEAMS DESIGN
7-11 百惠（BEAMS）,台中市西屯區台灣大道三段182號1.2樓｜(04)23120872｜24H｜BEAMS DESIGN,24.164784,120.646281,西屯區,台中市西屯區台灣大道三段182號1.2樓,(04)23120872,262639,BEAMS DESIGN
7-11 福星（BEAMS）,台中市西屯區福星路580號｜(04)24519553｜24H｜BEAMS DESIGN,24.174995,120.646446,西屯區,台中市西屯區福星路580號,(04)24519553,253299,BEAMS DESIGN
7-11 福雅（BEAMS）,台中市西屯區福雅路338號｜(04)24639859｜24H｜BEAMS DESIGN,24.194005,120.624243,西屯區,台中市西屯區福雅路338號,(04)24639859,249809,BEAMS DESIGN
7-11 秋紅谷（BEAMS）,台中市西屯區朝富路30號32號1樓｜(04)22542731｜24H｜BEAMS DESIGN,24.167246,120.637843,西屯區,台中市西屯區朝富路30號32號1樓,(04)22542731,281593,BEAMS DESIGN
7-11 科雅（BEAMS）,台中市西屯區福雅路571-1號｜(04)24636793｜24H｜BEAMS DESIGN,24.200743,120.626947,西屯區,台中市西屯區福雅路571-1號,(04)24636793,249795,BEAMS DESIGN
7-11 航發（BEAMS）,台中市西屯區河南路二段242號｜(04)24526841｜24H｜BEAMS DESIGN,24.176215,120.650953,西屯區,台中市西屯區河南路二段242號,(04)24526841,274274,BEAMS DESIGN
7-11 華美（BEAMS）,台中市西屯區西屯路二段19號19之1號21號｜(04)23143424｜24H｜BEAMS DESIGN,24.163806,120.661328,西屯區,台中市西屯區西屯路二段19號19之1號21號,(04)23143424,275417,BEAMS DESIGN
7-11 裕元（BEAMS）,台中市西屯區安和路168號｜(04)24638940｜24H｜BEAMS DESIGN,24.180509,120.625112,西屯區,台中市西屯區安和路168號,(04)24638940,236630,BEAMS DESIGN
7-11 豐慶（BEAMS）,台中市西屯區甘肅路一段196號及198號1樓｜(04)23164548｜24H｜BEAMS DESIGN,24.168242,120.657497,西屯區,台中市西屯區甘肅路一段196號及198號1樓,(04)23164548,993498,BEAMS DESIGN
7-11 逢善（BEAMS）,台中市西屯區逢甲路132、134號｜(04)24523490｜24H｜BEAMS DESIGN,24.178396,120.643123,西屯區,台中市西屯區逢甲路132、134號,(04)24523490,258917,BEAMS DESIGN
7-11 逢廣（BEAMS）,台中市西屯區文華路170號172號1樓｜(04)24528846｜24H｜BEAMS DESIGN,24.183628,120.646367,西屯區,台中市西屯區文華路170號172號1樓,(04)24528846,128690,BEAMS DESIGN
7-11 逢德（BEAMS）,台中市西屯區青海路二段321號323號｜(04)24518827｜24H｜BEAMS DESIGN,24.173525,120.640902,西屯區,台中市西屯區青海路二段321號323號,(04)24518827,236674,BEAMS DESIGN
7-11 逢盛（BEAMS）,台中市西屯區福星路330號華夏巷東一弄22號1樓｜(04)27064895｜24H｜BEAMS DESIGN,24.180725,120.644902,西屯區,台中市西屯區福星路330號華夏巷東一弄22號1樓,(04)27064895,957931,BEAMS DESIGN
7-11 逢科（BEAMS）,台中市西屯區青海路二段556號｜(04)24520126｜24H｜BEAMS DESIGN,24.176258,120.635916,西屯區,台中市西屯區青海路二段556號,(04)24520126,274838,BEAMS DESIGN
7-11 金西屯（BEAMS）,台中市西屯區西屯路三段79-33號｜(04)24521479｜24H｜BEAMS DESIGN,24.18337,120.630119,西屯區,台中市西屯區西屯路三段79-33號,(04)24521479,251156,BEAMS DESIGN
7-11 順和（BEAMS）,台中市西屯區工業區三十八路135號｜(04)23502995｜24H｜BEAMS DESIGN,24.176417,120.588055,西屯區,台中市西屯區工業區三十八路135號,(04)23502995,232915,BEAMS DESIGN
7-11 中醫五權（BEAMS）,台中市北區學士路2號｜(04)22331972｜24H｜BEAMS DESIGN,24.153839,120.683183,北區,台中市北區學士路2號,(04)22331972,196338,BEAMS DESIGN
7-11 健勝（BEAMS）,台中市北區健行路701號｜(04)22082596｜24H｜BEAMS DESIGN,24.159055,120.673531,北區,台中市北區健行路701號,(04)22082596,252403,BEAMS DESIGN
7-11 元保（BEAMS）,台中市北區進化北路413號1樓｜(04)22068717｜24H｜BEAMS DESIGN,24.162966,120.676864,北區,台中市北區進化北路413號1樓,(04)22068717,250902,BEAMS DESIGN
7-11 合作（BEAMS）,台中市北區自強一街1號｜(04)23608343｜24H｜BEAMS DESIGN,24.152888,120.697028,北區,台中市北區自強一街1號,(04)23608343,875093,BEAMS DESIGN
7-11 奕美（BEAMS）,台中市北區文莊里日興街180號1樓｜(04)22068491｜24H｜BEAMS DESIGN,24.150934,120.675547,北區,台中市北區文莊里日興街180號1樓,(04)22068491,293138,BEAMS DESIGN
7-11 婷婷（BEAMS）,台中市北區學士路67號69號1樓｜(04)22081433｜06:00 ~ 01:00｜BEAMS DESIGN,24.15468,120.681941,北區,台中市北區學士路67號69號1樓,(04)22081433,281364,BEAMS DESIGN
7-11 學士（BEAMS）,台中市北區學士路163號165號｜(04)22038425｜24H｜BEAMS DESIGN,24.158863,120.680789,北區,台中市北區學士路163號165號,(04)22038425,253679,BEAMS DESIGN
7-11 微笑（BEAMS）,台中市北區育樂街66.68號一樓及夾層｜(04)22368133｜24H｜BEAMS DESIGN,24.157667,120.692219,北區,台中市北區育樂街66.68號一樓及夾層,(04)22368133,285458,BEAMS DESIGN
7-11 忠太（BEAMS）,台中市北區太原路一段492號地下1層和忠明八街1號1樓｜(04)22063209｜24H｜BEAMS DESIGN,24.164784,120.670653,北區,台中市北區太原路一段492號地下1層和忠明八街1號1樓,(04)22063209,277527,BEAMS DESIGN
7-11 忠權（BEAMS）,台中市北區忠明路426號1樓｜(04)22061836｜24H｜BEAMS DESIGN,24.162878,120.669217,北區,台中市北區忠明路426號1樓,(04)22061836,120939,BEAMS DESIGN
7-11 新德化（BEAMS）,台中市北區德化街660號｜(04)22084550｜24H｜BEAMS DESIGN,24.161485,120.664877,北區,台中市北區德化街660號,(04)22084550,978617,BEAMS DESIGN
7-11 新通豪（BEAMS）,台中市北區漢口路三段101號｜(04)22991400｜24H｜BEAMS DESIGN,24.167002,120.669233,北區,台中市北區漢口路三段101號,(04)22991400,230539,BEAMS DESIGN
7-11 旭日（BEAMS）,台中市北區五權路272.274.276號與太平路221號｜(04)22065223｜24H｜BEAMS DESIGN,24.151398,120.67813,北區,台中市北區五權路272.274.276號與太平路221號,(04)22065223,253428,BEAMS DESIGN
7-11 淡溝（BEAMS）,台中市北區淡溝里民權路361號1樓｜(04)22065373｜24H｜BEAMS DESIGN,24.15678,120.670283,北區,台中市北區淡溝里民權路361號1樓,(04)22065373,110987,BEAMS DESIGN
7-11 漢華（BEAMS）,台中市北區漢口路五段60號62號66號1樓｜(04)22355816｜24H｜BEAMS DESIGN,24.166908,120.686677,北區,台中市北區漢口路五段60號62號66號1樓,(04)22355816,283809,BEAMS DESIGN
7-11 益華（BEAMS）,台中市北區健行路49號1樓｜(04)22301107｜24H｜BEAMS DESIGN專區,24.158822,120.689043,北區,台中市北區健行路49號1樓,(04)22301107,261016,BEAMS DESIGN專區
7-11 科博館（BEAMS）,台中市北區淡溝里博館路92號1樓｜(04)23268634｜06:00 ~ 23:59｜BEAMS DESIGN,24.155586,120.666428,北區,台中市北區淡溝里博館路92號1樓,(04)23268634,165057,BEAMS DESIGN
7-11 篤行（BEAMS）,台中市北區篤行路120號122號｜(04)22015811｜24H｜BEAMS DESIGN,24.148146,120.676212,北區,台中市北區篤行路120號122號,(04)22015811,148351,BEAMS DESIGN
7-11 育樂（BEAMS）,台中市北區雙十路二段62號1樓及育樂街92號1樓｜(04)22365102｜24H｜BEAMS DESIGN,24.158089,120.6911,北區,台中市北區雙十路二段62號1樓及育樂街92號1樓,(04)22365102,259404,BEAMS DESIGN
7-11 豐華（BEAMS）,台中市北區崇德里進化北路148號1樓及榮華街121號1樓｜(04)22378824｜24H｜BEAMS DESIGN,24.163176,120.686487,北區,台中市北區崇德里進化北路148號1樓及榮華街121號1樓,(04)22378824,250186,BEAMS DESIGN
7-11 賴厝（BEAMS）,台中市北區漢口路四段102號1樓.地下樓｜(04)22994792｜24H｜BEAMS DESIGN,24.166932,120.677556,北區,台中市北區漢口路四段102號1樓.地下樓,(04)22994792,263816,BEAMS DESIGN
7-11 進合（BEAMS）,台中市北區進化路328號｜(04)23609986｜24H｜BEAMS DESIGN,24.153478,120.694592,北區,台中市北區進化路328號,(04)23609986,252517,BEAMS DESIGN
7-11 健太（BEAMS）,台中市北屯區太原路三段1138號｜(04)24367881｜24H｜BEAMS DESIGN,24.162372,120.7213,北屯區,台中市北屯區太原路三段1138號,(04)24367881,275406,BEAMS DESIGN
7-11 北庄（BEAMS）,台中市北屯區后庄北路221-1號｜(04)24264497｜24H｜BEAMS DESIGN,24.192222,120.666976,北屯區,台中市北屯區后庄北路221-1號,(04)24264497,197021,BEAMS DESIGN
7-11 后探（BEAMS）,台中市北屯區崇德十路二段361號｜(04)24261779｜06:00 ~ 23:00｜BEAMS DESIGN,24.193533,120.676041,北屯區,台中市北屯區崇德十路二段361號,(04)24261779,231510,BEAMS DESIGN
7-11 國校（BEAMS）,台中市北屯區國校巷16號｜(04)22336256｜24H｜BEAMS DESIGN,24.164878,120.690834,北屯區,台中市北屯區國校巷16號,(04)22336256,252610,BEAMS DESIGN
7-11 大果（BEAMS）,台中市北屯區崇德十一路50號｜(04)24229802｜24H｜BEAMS DESIGN,24.189528,120.68875,北屯區,台中市北屯區崇德十一路50號,(04)24229802,243889,BEAMS DESIGN
7-11 天星（BEAMS）,台中市北屯區東山路二段77之8、77之9、77之10號1樓｜(04)24390965｜24H｜BEAMS DESIGN,24.192411,120.746871,北屯區,台中市北屯區東山路二段77之8、77之9、77之10號1樓,(04)24390965,991159,BEAMS DESIGN
7-11 富宇（BEAMS）,台中市北屯區建和路二段273.275號｜(04)24367450｜24H｜BEAMS DESIGN,24.174852,120.724543,北屯區,台中市北屯區建和路二段273.275號,(04)24367450,184302,BEAMS DESIGN
7-11 巨富（BEAMS）,台中市北屯區敦富路807號1樓｜(04)24364099｜24H｜BEAMS DESIGN,24.197366,120.707324,北屯區,台中市北屯區敦富路807號1樓,(04)24364099,234807,BEAMS DESIGN
7-11 庄鎂（BEAMS）,台中市北屯區庄美街19號1樓｜(04)24265713｜24H｜BEAMS DESIGN,24.191253,120.661768,北屯區,台中市北屯區庄美街19號1樓,(04)24265713,258157,BEAMS DESIGN
7-11 敦煌（BEAMS）,台中市北屯區敦化路一段473號1樓｜(04)22925869｜24H｜BEAMS DESIGN,24.187558,120.667941,北屯區,台中市北屯區敦化路一段473號1樓,(04)22925869,901846,BEAMS DESIGN
7-11 文河（BEAMS）,台中市北屯區文心路四段500號1樓｜(04)22345302｜24H｜BEAMS DESIGN,24.172023,120.68357,北屯區,台中市北屯區文心路四段500號1樓,(04)22345302,235615,BEAMS DESIGN
7-11 昌平（BEAMS）,台中市北屯區昌平路一段70號｜(04)22326743｜24H｜BEAMS DESIGN,24.16814,120.692939,北屯區,台中市北屯區昌平路一段70號,(04)22326743,264934,BEAMS DESIGN
7-11 景大和（BEAMS）,台中市北屯區景賢路191號｜(04)24364416｜24H｜BEAMS DESIGN,24.166609,120.722435,北屯區,台中市北屯區景賢路191號,(04)24364416,207388,BEAMS DESIGN
7-11 景賢八（BEAMS）,台中市北屯區景賢八路228號1樓｜(04)24362314｜24H｜BEAMS DESIGN,24.165329,120.709856,北屯區,台中市北屯區景賢八路228號1樓,(04)24362314,236179,BEAMS DESIGN
7-11 松強（BEAMS）,台中市北屯區松安里崇德六路一段47號｜(04)22432398｜24H｜BEAMS DESIGN,24.179798,120.694818,北屯區,台中市北屯區松安里崇德六路一段47號,(04)22432398,950295,BEAMS DESIGN
7-11 松探（BEAMS）,台中市北屯區松竹五路一段325號｜(04)24369434｜24H｜BEAMS DESIGN,24.17479,120.709514,北屯區,台中市北屯區松竹五路一段325號,(04)24369434,234690,BEAMS DESIGN
7-11 松潭（BEAMS）,台中市北屯區軍功路二段183號1樓｜(04)24392157｜24H｜BEAMS DESIGN,24.180021,120.719513,北屯區,台中市北屯區軍功路二段183號1樓,(04)24392157,277413,BEAMS DESIGN
7-11 樂河（BEAMS）,台中市北屯區軍和街457號1樓和461號1樓2樓｜(04)24390860｜24H｜BEAMS DESIGN,24.177173,120.72479,北屯區,台中市北屯區軍和街457號1樓和461號1樓2樓,(04)24390860,252997,BEAMS DESIGN
7-11 湧順（BEAMS）,台中市北屯區樹孝路666號｜(04)24367340｜24H｜BEAMS DESIGN,24.160161,120.72167,北屯區,台中市北屯區樹孝路666號,(04)24367340,231668,BEAMS DESIGN
7-11 瀋陽（BEAMS）,台中市北屯區瀋陽路一段104號1樓｜(04)22911125｜24H｜BEAMS DESIGN,24.174118,120.678623,北屯區,台中市北屯區瀋陽路一段104號1樓,(04)22911125,131397,BEAMS DESIGN
7-11 竹探（BEAMS）,台中市北屯區松竹路三段676-1號｜(04)22993843｜06:00 ~ 23:59｜BEAMS DESIGN,24.190316,120.673617,北屯區,台中市北屯區松竹路三段676-1號,(04)22993843,250739,BEAMS DESIGN
7-11 萬寶（BEAMS）,台中市北屯區中清路二段567號一樓｜(04)22959440｜24H｜BEAMS DESIGN,24.182447,120.665649,北屯區,台中市北屯區中清路二段567號一樓,(04)22959440,996291,BEAMS DESIGN
7-11 賢和（BEAMS）,台中市北屯區景賢路230號｜(04)24360884｜24H｜BEAMS DESIGN,24.166965,120.724534,北屯區,台中市北屯區景賢路230號,(04)24360884,180137,BEAMS DESIGN
7-11 軍建（BEAMS）,台中市北屯區軍福十三路198號｜(04)24367480｜24H｜BEAMS DESIGN,24.172335,120.724403,北屯區,台中市北屯區軍福十三路198號,(04)24367480,284743,BEAMS DESIGN
7-11 軍榮（BEAMS）,台中市北屯區軍榮一街90號1樓｜(04)24390046｜24H｜BEAMS DESIGN,24.179994,120.720654,北屯區,台中市北屯區軍榮一街90號1樓,(04)24390046,209878,BEAMS DESIGN
7-11 軍福（BEAMS）,台中市北屯區軍功路一段500號｜(04)24376717｜24H｜BEAMS DESIGN專區,24.17136,120.718802,北屯區,台中市北屯區軍功路一段500號,(04)24376717,111212,BEAMS DESIGN專區
7-11 金格（BEAMS）,台中市北屯區松竹路一段965號1樓｜(04)24368410｜24H｜BEAMS DESIGN專區,24.18219,120.712005,北屯區,台中市北屯區松竹路一段965號1樓,(04)24368410,167237,BEAMS DESIGN專區
7-11 青河（BEAMS）,台中市北屯區青島路三段155號1樓｜(04)22362409｜24H｜BEAMS DESIGN,24.168624,120.683348,北屯區,台中市北屯區青島路三段155號1樓,(04)22362409,991975,BEAMS DESIGN
7-11 上楓樹（BEAMS）,台中市南屯區中和里黎明路一段263號｜(04)24702620｜24H｜BEAMS DESIGN,24.118045,120.627521,南屯區,台中市南屯區中和里黎明路一段263號,(04)24702620,273167,BEAMS DESIGN
7-11 南屯（BEAMS）,台中市南屯區南屯路二段570號｜(04)23891441｜24H｜BEAMS DESIGN,24.138714,120.64168,南屯區,台中市南屯區南屯路二段570號,(04)23891441,294197,BEAMS DESIGN
7-11 哈魚（BEAMS）,台中市南屯區環中路四段6號｜(04)23899574｜24H｜BEAMS DESIGN,24.148054,120.622853,南屯區,台中市南屯區環中路四段6號,(04)23899574,210030,BEAMS DESIGN
7-11 墩富（BEAMS）,台中市南屯區大墩路572號｜(04)23207553｜24H｜BEAMS DESIGN,24.1497,120.650017,南屯區,台中市南屯區大墩路572號,(04)23207553,201852,BEAMS DESIGN
7-11 墩業（BEAMS）,台中市南屯區大墩路717-5號｜(04)23275693｜24H｜BEAMS DESIGN,24.153495,120.649588,南屯區,台中市南屯區大墩路717-5號,(04)23275693,148915,BEAMS DESIGN
7-11 墩正（BEAMS）,台中市南屯區溝墘里大墩十一街330號1樓｜(04)22510497｜24H｜BEAMS DESIGN專區,24.148978,120.645321,南屯區,台中市南屯區溝墘里大墩十一街330號1樓,(04)22510497,980322,BEAMS DESIGN專區
7-11 墩陽（BEAMS）,台中市南屯區大墩10街254號1樓｜(04)23205217｜24H｜BEAMS DESIGN,24.147873,120.647672,南屯區,台中市南屯區大墩10街254號1樓,(04)23205217,273488,BEAMS DESIGN
7-11 惠宇（BEAMS）,台中市南屯區向上南路一段167之1號｜(04)24739173｜24H｜BEAMS DESIGN,24.144793,120.653574,南屯區,台中市南屯區向上南路一段167之1號,(04)24739173,285470,BEAMS DESIGN
7-11 惠馨（BEAMS）,台中市南屯區大墩南路332.336號｜(04)24735180｜24H｜BEAMS DESIGN,24.132149,120.6502,南屯區,台中市南屯區大墩南路332.336號,(04)24735180,182410,BEAMS DESIGN
7-11 文豐（BEAMS）,台中市南屯區文心南五路ㄧ段319號｜(04)24738232｜24H｜BEAMS DESIGN,24.131851,120.644869,南屯區,台中市南屯區文心南五路ㄧ段319號,(04)24738232,212209,BEAMS DESIGN
7-11 新墩興（BEAMS）,台中市南屯區東興路二段98號1樓｜(04)24712169｜24H｜BEAMS DESIGN,24.138799,120.653157,南屯區,台中市南屯區東興路二段98號1樓,(04)24712169,931294,BEAMS DESIGN
7-11 新春社（BEAMS）,台中市南屯區永春南路136號138號｜(04)23802312｜24H｜BEAMS DESIGN,24.138653,120.609041,南屯區,台中市南屯區永春南路136號138號,(04)23802312,953098,BEAMS DESIGN
7-11 新豐功（BEAMS）,台中市南屯區豐樂里永春東路860號｜(04)23862140｜24H｜BEAMS DESIGN,24.134996,120.6412,南屯區,台中市南屯區豐樂里永春東路860號,(04)23862140,996752,BEAMS DESIGN
7-11 權旺（BEAMS）,台中市南屯區五權西路二段812號｜(04)23806902｜24H｜BEAMS DESIGN,24.143733,120.635444,南屯區,台中市南屯區五權西路二段812號,(04)23806902,182339,BEAMS DESIGN
7-11 永春（BEAMS）,台中市南屯區永春東七路629號｜(04)23893263｜24H｜BEAMS DESIGN,24.141205,120.633374,南屯區,台中市南屯區永春東七路629號,(04)23893263,231107,BEAMS DESIGN
7-11 鑫權勝（BEAMS）,台中市南屯區五權西路二段882號｜(04)23801953｜24H｜BEAMS DESIGN,24.144691,120.633953,南屯區,台中市南屯區五權西路二段882號,(04)23801953,155038,BEAMS DESIGN
7-11 三中（BEAMS）,台中市西區忠明路54-1號1樓、博館路231號233號235號237號1樓｜(04)23146826｜24H｜BEAMS DESIGN,24.158985,120.661106,西區,台中市西區忠明路54-1號1樓、博館路231號233號235號237號1樓,(04)23146826,214652,BEAMS DESIGN
7-11 上誠（BEAMS）,台中市西區向上路一段381號383號385號｜(04)24739542｜24H｜BEAMS DESIGN,24.146554,120.65544,西區,台中市西區向上路一段381號383號385號,(04)24739542,293149,BEAMS DESIGN
7-11 五權（BEAMS）,台中市西區南屯路一段60號62號64號｜(04)23759066｜06:00 ~ 23:59｜BEAMS DESIGN,24.132374,120.665849,西區,台中市西區南屯路一段60號62號64號,(04)23759066,217422,BEAMS DESIGN
7-11 台麗（BEAMS）,台中市西區五權路119號1樓、中山路493號1樓｜(04)22060119｜24H｜BEAMS DESIGN,24.146965,120.672556,西區,台中市西區五權路119號1樓、中山路493號1樓,(04)22060119,962715,BEAMS DESIGN
7-11 吉龍（BEAMS）,台中市西區吉龍里忠明南路410號1樓及五權七街200、202號1樓｜(04)23754680｜24H｜BEAMS DESIGN,24.135248,120.657075,西區,台中市西區吉龍里忠明南路410號1樓及五權七街200、202號1樓,(04)23754680,158288,BEAMS DESIGN
7-11 向美（BEAMS）,台中市西區美村路一段302之1號302之7號｜(04)23016027｜24H｜BEAMS DESIGN,24.146253,120.661532,西區,台中市西區美村路一段302之1號302之7號,(04)23016027,286738,BEAMS DESIGN
7-11 大將作（BEAMS）,台中市西區英才路410號｜(04)23205843｜06:00 ~ 23:59｜BEAMS DESIGN專區,24.152798,120.666275,西區,台中市西區英才路410號,(04)23205843,185958,BEAMS DESIGN專區
7-11 大莊園（BEAMS）,台中市西區向上路一段15號1樓｜(04)23019946｜24H｜BEAMS DESIGN,24.146425,120.66914,西區,台中市西區向上路一段15號1樓,(04)23019946,277549,BEAMS DESIGN
7-11 安龍（BEAMS）,台中市西區五權路2-12號2-13號1樓｜(04)23752146｜24H｜BEAMS DESIGN,24.142356,120.668292,西區,台中市西區五權路2-12號2-13號1樓,(04)23752146,265306,BEAMS DESIGN
7-11 市民（BEAMS）,台中市西區公益路157號｜(04)23020614｜24H｜BEAMS DESIGN,24.150724,120.662807,西區,台中市西區公益路157號,(04)23020614,238430,BEAMS DESIGN
7-11 忠明義（BEAMS）,台中市西區忠明南路16號16之1號18號1樓｜(04)23269542｜24H｜BEAMS DESIGN,24.15624,120.658681,西區,台中市西區忠明南路16號16之1號18號1樓,(04)23269542,240662,BEAMS DESIGN
7-11 模範（BEAMS）,台中市西區模範街34巷1號｜(04)23024571｜24H｜BEAMS DESIGN,24.149128,120.666726,西區,台中市西區模範街34巷1號,(04)23024571,912732,BEAMS DESIGN
7-11 權大（BEAMS）,台中市西區五權西路一段271號1樓2樓｜(04)23780449｜24H｜BEAMS DESIGN,24.13989,120.655534,西區,台中市西區五權西路一段271號1樓2樓,(04)23780449,216902,BEAMS DESIGN
7-11 權美（BEAMS）,台中市西區美村路一段736號｜(04)23723672｜24H｜BEAMS DESIGN,24.134218,120.661585,西區,台中市西區美村路一段736號,(04)23723672,187079,BEAMS DESIGN
7-11 益風（BEAMS）,台中市西區精誠路107號｜(04)23202817｜24H｜BEAMS DESIGN,24.150492,120.655227,西區,台中市西區精誠路107號,(04)23202817,279648,BEAMS DESIGN
7-11 美村（BEAMS）,台中市西區美村路一段542號546號｜(04)23762435｜24H｜BEAMS DESIGN,24.139612,120.661504,西區,台中市西區美村路一段542號546號,(04)23762435,285126,BEAMS DESIGN
7-11 金典（BEAMS）,台中市西區健行路1046、1046-1、1046-2號1樓｜(04)23265492｜24H｜BEAMS DESIGN,24.156473,120.662996,西區,台中市西區健行路1046、1046-1、1046-2號1樓,(04)23265492,940483,BEAMS DESIGN
